row_name,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9
BYOB,-0.3768676174,0.33986063,-0.4560061111,-0.6338553185,-0.9787854505,0.3791164167,0.1319010482,0.7686667752,-0.6463068054,-0.23308059
Bro-country,-1.825092936,-1.473007802,-0.2040391542,0,-1.040716408,1.711669874,0,-0.9131733948,0,0
Cumulus.com,0,0,0,0,0,1.241339927,0,0,0,0.8009931775
at home,-0.1464325905,0.2245497835,-1.107832067,-0.2976752345,-0.5282885389,-0.06992443433,0.01386911158,0.7727479752,0.2772754021,0.2589787827
bar,0.4421837213,0.258734471,-0.9783220814,0.4170901011,-0.5055928244,0.2029946332,-0.06199025491,-0.1245843927,-0.3260431118,0.1204553024
barbecue,0.2890968285,-1.078070816,-1.979298073,-1.31496452,-2.838549649,0.9820850107,-0.8115724183,0.8666471836,0.3843007542,0.1113002318
bbq,-0.123048409,-0.5699831353,-0.8725540549,-0.3283972533,-0.9008569086,0.7182072732,-0.280152506,0.4397556384,0.3098339599,0.09402334199
beer,-0.9875339065,-1.655381511,0.8277349305,0.4206116606,-1.598783067,0.4301481755,-1.839084116,0.07660237115,0.3506055054,-0.850542362
burger,0.3812925628,0.5287803089,-0.5543817322,-0.7462498608,-0.9694830579,0.203462205,0.02683254598,-0.4967341278,-0.556961705,0.2673229211
celebrate,-0.2362933794,0.3453627658,-1.034325733,-0.5333717371,-0.2397055391,-0.09641073532,0.757983102,-0.07942263911,-0.1216767277,-0.1174811951
concert,-0.04835754156,0.06282188369,1.162665948,-0.1914480518,-1.201926856,-0.4186580536,-0.9459695925,-0.6949998933,-0.03199376816,-1.550798499
day,-0.3221480211,-0.1958335746,-0.8810225076,-0.3569108836,-0.1548482088,0.2353925321,0.4629842779,0.1462122639,-0.1333182039,0.07076332987
friends,-0.1759847367,0.6627547539,-1.02982867,-0.920612154,-1.063447011,0.1189843882,0.3910528371,0.2366087586,0.7623933322,-0.05865576823
game,-0.6232566555,0.5913938108,-0.8402156575,-0.1195898879,0.09306640924,-0.3721849442,0.1741741184,-0.04042140945,-0.09125722392,0.3158764459
gamer,-0.8043116323,1.249920812,-2.187506389,-1.258009628,-0.8672329646,-0.3743285348,0.4283758726,-0.9115402081,0.3476348607,0.2485976375
gaming,-0.9315651255,0.7735395805,-0.34520797,0.05113806034,-1.85193669,-0.09738034405,-0.155201146,0.1514489101,-0.6031673127,0.1773027979
gourmet,-0.3824077978,1.054866604,-1.665519096,-0.5216124632,0,0.8135275205,-0.4490032771,-0.0170319627,-1.344994166,-0.1208377347
holiday,-0.2016668194,0.3826710628,-1.642803269,-0.7517650669,0.8219640801,0.04320661529,0.3001169517,0.4071885706,0.2103724293,0.1005705471
iHeartRadio,0.1122047146,0.5663830733,-1.289259257,-0.6308604405,-0.2618729447,0.1782733623,0.787012114,-0.3067849659,-0.3228400321,-0.4239551714
mash-up,-1.007135954,2.034814838,-2.63687186,-2.195681859,0.5780184189,-0.9685133583,-0.05572317684,-1.412198974,-0.09095147611,-0.5285013855
mashup,-1.160470263,2.062001337,-2.849046669,-2.712185131,-0.1339536827,-0.4124486303,0.2204797794,-1.715128146,-0.2069401456,-1.160047549
night,-0.4683724824,-0.5489702489,0.3104120802,0.4379426068,-0.4209318796,-0.2357490629,-0.5570410041,0.1922901724,-0.2613735974,0.130035326
party,-0.8086374996,0.008444177846,0.4259126494,0.2048944895,-1.290001378,-0.4456812379,-0.4388438981,-0.4709842304,-0.6964178676,0.2640370249
restaurant,-0.6332077673,0.1101887272,-1.750651943,1.359672842,-1.182481867,0.528715421,-0.3986981538,-1.050898444,-0.4531218573,-0.3852433563
weekend,-0.02306523693,-0.07365731214,-0.6561756511,-0.04119768727,-0.8393674413,0.1955570146,0.1721770543,-0.1244458429,-0.1319228547,0.2358293702
youtube,1.625148575,0.8950027338,-1.333039694,-0.8785955866,1.834246255,-0.4023159424,-2.023229906,-1.608747608,1.075019928,-0.09858517528
