row_name,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9
at home,-0.4345995209,0.4503966768,-1.178080334,-0.2063932477,-0.8046416489,0.09063005313,-0.3985562913,0.9496371867,0.5221042462,0.195619906
bar,-0.1245871369,0.4527738453,-0.852016581,0.4706652954,-0.6794778564,0.2019976785,0.1751554188,-0.2999790069,-0.2941167381,0.0818671721
barbecue,0.3205098168,-2.411327131,-1.651041352,-1.064616667,-2.376214956,1.070857631,-1.046234267,0.467891339,0.9654339599,-0.1595580765
bbq,0.0246014769,-0.9103609006,-1.152787087,-0.4277554154,-1.345252355,0.4923823192,0.01542128022,0.6074607595,0.7258289675,0.1131442054
beer,-1.38143753,-1.305318611,0.7398517024,0.2282077993,-2.026091957,0.3816228775,-1.658579492,-0.0580470427,0.413760756,-0.8914001334
Bro-country,-0.8579730773,0.1478595936,-1.43568268,0,-0.9156405202,1.641148243,0,0.04433298517,0,0
burger,0.4457534999,0.935189502,-0.5007340686,-0.4806831142,-1.126041676,0.254869777,0.08097730206,-0.6798306537,-0.3413527275,0.1754061376
BYOB,0.01125014373,-0.08152947402,-1.025991788,0.06120818555,0,0.5674419434,0,0.8807663834,0,0.2243294309
celebrate,-0.2507312095,0.8763150322,-1.335475475,-0.4018257612,-0.3032572529,0.0745550335,0.8728058291,0.004887221213,-0.1850193174,-0.06965930981
concert,-0.194635538,0.09705280757,1.067188025,0.01962173905,-1.460187215,-0.3652059153,-1.037458812,-0.3897847021,-0.009258539605,-1.641706587
Cumulus.com,0,0,0,0,0,0,0,0,0,1.394400684
day,-0.2583610135,-0.1074460329,-0.8347028049,-0.3522582476,-0.1331050856,0.2363148681,0.5521148122,0.2001017769,-0.1309217412,0.08339614578
friends,-0.417665524,1.008878074,-0.9418335575,-0.8387834976,-0.9293872948,0.1734789896,0.3283072543,0.1665238525,1.074934694,0.0610156972
game,-0.2898088857,0.4752551968,-1.069263875,0.09139528582,0.2554497417,-0.2687778569,0.3611010845,0.06143290617,-0.06264823787,0.2805223795
gamer,-1.919771393,1.078491443,-2.551548217,-0.888984098,-0.03152868671,-0.07572530486,0.04568903361,0.04835713547,1.826833602,0.2857380591
gaming,-0.2413406089,0.3590269539,-0.3188066969,-0.0214835303,-2.496232629,-0.22414531,0.1970529025,0.4050320794,-0.889184769,0.2312498738
gourmet,0.318275179,1.765940602,-1.412113933,-0.4426969954,0,0.5867849062,-1.212771956,0.08917912999,0,-0.05643219867
holiday,-0.3747157393,0.2744419877,-1.594279228,-1.274949981,1.403924663,0.1354321218,0.263290826,0.3486179901,0.01417698557,0.1030044212
iHeartRadio,0.05632574869,0.2062161046,-0.7805656413,0.1179525343,-0.1613782062,0.6005625687,0.01754949786,0.1581533722,0.1908384324,-0.2797027744
mashup,-0.2753537615,1.663298943,-1.782599323,-1.283186014,0.2265945835,-0.4768476635,0.3554843144,-0.8260334347,0.8891808349,0.3181893316
mash-up,1.378241753,1.551165301,-2.101347215,-0.3635596748,0.1309902428,-0.83815517,-0.8033929486,-1.804026956,2.543663267,-0.4833012154
night,-0.398592083,-0.4879339872,0.280322975,0.2800178706,-0.2903924124,-0.2582027376,-0.7211102569,0.09208158967,-0.5897527048,0.1264637659
party,-0.9100818213,-0.1753880165,0.4865797258,0.4027658578,-1.510022666,-0.5044688439,-0.6417648877,-0.5758611965,-0.5595980553,0.1426324535
restaurant,-1.203014347,0.1511250186,-1.984322904,1.516291567,-1.443003346,0.3816801755,-0.2234464752,-1.249788839,-1.532404776,-0.6481857657
weekend,0.220749169,-0.3625065331,-0.6688135758,0.03267734147,-0.9578031982,0.1493298842,0.302218902,-0.1836447029,-0.01723427143,0.2356699667
youtube,1.670712997,0.7367349672,-1.175204186,-0.829834382,1.750280452,-0.4175239191,-2.335192208,-1.642093183,1.151337819,-0.05337425757
