row_name,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9
BYOB,-0.6440134281,0.327107282,-0.2203414436,-1.512657931,-0.4234091301,0.2802248007,0.3176814243,0.732817683,-0.2402839111,-0.5954790584
Bro-country,-2.858394182,-2.713952045,0.09100644636,0,-1.028351972,1.767146021,0,-2.174710252,0,0
Cumulus.com,0,0,0,0,0,1.993203392,0,0,0,0
at home,0.02205841819,0.1454129935,-1.053443307,-0.3793953968,-0.3141480208,-0.2101352125,0.1244453754,0.5955547924,0.06428595053,0.3093442369
bar,0.7126216386,0.186841426,-1.082875902,0.3764813977,-0.3566680124,0.2071778094,-0.1747179272,0.009008085362,-0.3473480852,0.153779637
barbecue,0.2299661057,-0.7113006412,-2.725086436,-1.937961381,0,0.8243219076,-0.6115272069,1.194817428,-1.76419965,0.3414143008
bbq,-0.324617101,-0.3813931547,-0.6502370261,-0.261007021,-0.5445692309,0.9005381152,-0.3968613269,0.1168592944,-0.435551984,0.03953072587
beer,-0.6520535481,-1.673363003,0.8913652372,0.587983521,-1.21436643,0.4508263806,-1.835012386,0.1783322383,0.251838887,-0.8506678982
burger,0.3175324217,0.3975284974,-0.6163798491,-1.142789802,-0.8384957305,0.1466825946,0.02676765765,-0.3536761113,-0.7779728336,0.3365079892
celebrate,-0.2164341447,0.108678021,-0.8824416927,-0.5747481959,-0.1421728024,-0.1761614954,0.6598794146,-0.0898938129,-0.08727175804,-0.117225484
concert,0.04853505157,0.04911669254,1.234178353,-0.4231901445,-0.9978082539,-0.4613833784,-0.9168230729,-1.069651797,-0.04812567023,-1.481505379
day,-0.3715838231,-0.225500434,-0.9183553049,-0.3588278995,-0.1733665772,0.2357440171,0.4241007154,0.09846646557,-0.1347133928,0.06181543569
friends,-0.04130699916,0.5203760041,-1.084803981,-0.9694185617,-1.164437448,0.08932879579,0.3840860182,0.3037641303,0.5093175325,-0.1400569392
game,-0.9107019055,0.5807756986,-0.6979296919,-0.2975394178,-0.03902599077,-0.4394037583,0.07573987934,-0.1069397,-0.1067175638,0.3511474314
gamer,-0.6093723762,1.101852498,-2.057502569,-1.334916035,-1.344279523,-0.4432861582,0.3571186485,-1.546176194,-2.077445036,0.2848887617
gaming,-2.105293596,0.8381705202,-0.3598657716,0.1171043544,-1.47922419,-0.009417943572,-0.3326685274,-0.1094232766,-0.4488011106,0.140465351
gourmet,-1.295313499,0.7318598857,-1.852470767,-0.5545200892,0,0.944601524,-0.3336186463,-0.07263306741,-0.8915839817,-0.1481668403
holiday,-0.09295146562,0.3931061697,-1.676648675,-0.4493478694,-0.4737492345,-0.02718076272,0.3012563996,0.4611875959,0.3249125623,0.103687308
iHeartRadio,0.1505469768,0.4438906456,-1.478477911,-1.02763661,-0.1974593471,0.03843722682,0.7579323608,-0.4570173236,-0.5251597518,-0.4281108087
mash-up,-1.865321444,2.026568501,-4.108877667,-4.931190525,0.8120186264,-1.393068339,-0.2676378253,-2.066675702,-2.049378592,-1.989629888
mashup,-2.069598557,1.811504879,-2.846817711,-3.400866582,0.002663351462,-0.3393054267,0.05423386024,-1.603781121,-1.560508525,-1.144714005
night,-0.530488056,-0.5522750943,0.331407935,0.5624424905,-0.5936476515,-0.2208206308,-0.487264653,0.2723474611,-0.06824677006,0.1284096879
party,-0.7325036746,0.1015621266,0.3504874079,-0.08952357506,-1.107672393,-0.4038822733,-0.3303062459,-0.3906091219,-0.8326793385,0.3566725521
restaurant,-0.2013059764,0.2589891099,-1.534992034,0.9179238688,-0.9482857047,0.6629892164,-0.3908333629,-0.87574553,0.1405481369,-0.1442367043
weekend,-0.2414956149,-0.02230555488,-0.642890311,-0.10253944,-0.7304841559,0.2320114089,0.1108037355,-0.07085042617,-0.217834982,0.2399076816
youtube,1.586517127,0.9443006996,-1.491975417,-0.9314148476,1.908184439,-0.3921450632,-1.91663025,-1.58300894,1.013251771,-0.1418721333
