row_name,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9
at home,-1.139747728,-0.7556831415,0.1735959227,1.438845271,-0.5816220302,-1.34685828,0.1216516475,-0.03792912579,-0.01749145785,1.036492809
bar,0.1125990558,-0.3922818417,-0.5572278664,-0.6363431864,-0.671321352,-0.5413837932,-0.4355884078,1.553782964,-0.2054329228,0.1763895043
beer,-0.4461563463,-0.5318099601,-0.3096257314,-1.121645428,-0.623352754,-1.797135778,-0.5055273403,0.3963354094,0.4181506777,0.9029683612
celebrate,-0.816780501,-0.3213010854,0.04801445552,0.8477099506,0.2215873972,0.6394872498,0.06711181298,-0.587423115,0.01252808136,0.6318326059
day,-0.5964454522,-0.03774427487,0.3777437129,-0.07919521338,-0.2501537531,0.04153173317,0.4370560607,0.014788282,-0.3108566826,0.005810447305
download,0.2632263222,0.5825680388,-1.497123842,0.005419086098,0.1927433607,-0.3464962686,-0.9844050151,-1.632921987,-0.1778178075,-1.015380607
fashion,-1.352547381,0.1807007041,-0.1709730078,-1.634473177,0.5846449749,-1.34394936,-1.117551986,-1.094304152,0.6227897517,-1.323407034
festival,-1.582524273,-0.6379939717,-0.3129880008,-0.3552122384,0.09247593765,-1.129038489,-1.094985265,-1.785340746,1.182207604,-2.192564524
food,-1.109205541,0.0702460414,-0.4526414268,-1.591802033,0.07865052114,-1.634769824,-0.4697670104,0.795373067,0.1131526874,0.1683593727
friends,-0.667253536,0.004184152278,0.3607946783,-0.3439927453,-0.009834075158,-0.7110390316,0.4569008882,0.01947719465,-0.1631727919,-0.333241007
game,0.4686848365,-0.2886030193,-1.013933586,-1.084668589,-0.9911223742,-0.8826155124,-0.5074378525,0.9708896831,-0.802215896,1.153822113
gamer,-0.3523697763,-1.649263562,-2.054561026,-2.088594662,-1.657099469,-2.139930704,-1.418807726,2.409076483,-0.5947733046,-0.383854051
gaming,1.661509941,-0.5625995303,-0.4759993806,-0.9338472634,-1.231217334,-2.42026783,-0.531904057,1.15410687,-0.7585581646,0.00203434569
gourmet,0.40930216,-1.318864618,-0.6287294463,0,0,0,-0.2971875202,1.292431561,-0.3582622521,1.313911245
holiday,-0.12600978,-0.1940754709,-0.342667211,-0.5998443984,-0.06179323224,-0.8205985915,-0.29142725,0.7944710334,0.1663612583,0.2749656045
night,-0.4674771102,0.04159379544,-0.2148292784,0.5712976105,0.2862258015,0.6246088413,0.3206770751,-0.8802322377,-0.4890408124,0.4514170882
party,-0.2629686234,0.4326663641,-0.03474308061,0.01343618661,-0.2731695169,-0.2362217527,-0.07825731963,-0.4285298505,-0.4122847127,-0.7707060001
restaurant,-0.630779031,-0.7644335467,0.1696792631,0.4437365711,-0.5550794823,-0.9556726184,-0.2594471922,1.226987653,0.2610063386,0.2166716397
style,0.04611386242,0.5354064901,-0.6339952211,-0.8375706873,0.3268706012,-0.8410888542,-0.5194528441,-1.418743086,-0.6321968354,-0.0344961288
vinyl,0.005735715399,0.07775633338,-1.783751043,-0.6492138017,-1.036503203,-1.213952788,0.1829812918,-1.310314495,-0.1937262949,0.9972747933
weekend,-1.457478398,-0.2075749657,1.271373882,0.3343365016,0.04999889355,0.2052721067,0.08353257289,-1.187956362,-0.3919623626,-0.7719943398
work,-0.02010622257,0.2315133331,-0.388496484,-0.3337970023,-0.2258343007,-0.6101498392,-0.2205761265,0.4900710029,-0.1685465784,-0.224671072
working,0.03178759552,0.2357058616,-0.1098291355,0.05947815246,-0.4519856334,-0.3944699279,-0.06234477619,0.5562059107,-0.4564507569,-0.3172247805
youtube,1.700853172,-0.5498071312,-0.9133328604,0.2864205705,0.5016589565,0.7493147337,-1.235250367,0.1121842436,-0.936577413,0.4948042372
